id,login,BordaCount,12MonthActivityNum,Authority,FollowersNum,ForkedHindex,WatcherHindex,usrPageRankScore
10335793,"jiahaog",7286,1034,15994,1338,30,54,7904
10348321,"AuroraWright",7014,1057,3400,1374,30,55,19477
10356206,"ahmetcankal",8861,1074,16172,1497,31,59,13285
10380436,"carlosjfernandes",14908,1070,19481,1524,32,58,31318
10383246,"almet",2632,779,5986,1244,28,56,1956
10389961,"littlecodersh",4374,1034,2173,1334,31,52,11372
10395363,"zeeev",12507,1030,9420,1505,30,55,33030
10396342,"joselevelsup",13127,1051,9657,1525,31,59,35009
10401921,"wxygeek",15258,1067,36695,1429,30,56,15431
10411496,"mcelearr",17471,715,13915,1533,31,58,46391
10411914,"jacquescrocker",4815,1060,9281,1353,27,59,5827
10416945,"SmartDengg",4792,1017,3863,1241,30,52,11306
10421323,"foxglovesec",6454,1078,2261,1329,30,60,18624
10428329,"popsiclesarecool",624,1080,370,293,31,60,1544
10435674,"polytypic",4583,1006,3807,1477,31,55,10360
10455113,"vincentvanhoucke",6473,1071,3476,1398,32,60,17398
10485063,"amaxwellblair",17832,842,11379,1533,31,58,50014
10485118,"AutumnsWind",546,1061,277,277,29,51,1385
10486595,"cancui",18117,1069,25717,1541,31,57,36400
10489133,"dingyiming",6926,617,7178,1319,31,51,15886
10490032,"3gstudent",5455,1036,3097,1401,30,51,14254
10492392,"MasterDeg",6440,1080,4192,1513,31,59,16452
10498615,"MrDamonThomas",3800,1076,2312,1464,32,60,9009
